R,G,B,S1,S2,Std_S1,Std_S2,PR_raw,PR_normalized,PR_mean,PR_std,PR_filtered
49.87284300456776,63.01723481644392,89.26824987311791,-26.251015056673992,52.53979868042632,,,0.0,0.0,,,0.0
49.85236922554348,63.01725968070652,89.30797809103261,-26.29071841032609,52.62049932065218,,,0.0,0.0,,,0.0
49.98281838411503,63.13270284149264,89.57476035604245,-26.44205751454981,52.74182642930503,,,0.0,0.0,,,0.0
49.88531543052003,63.062084398976985,89.53761722080137,-26.47553282182438,52.82907075873829,,,0.0,0.0,,,0.0
49.81222401494565,62.98201851222826,89.2931598165761,-26.311141304347835,52.650730298913054,,,0.0,0.0,,,0.0
49.84556692242114,63.02649190110827,89.46408780903666,-26.437595907928383,52.79944586530264,,,0.0,0.0,,,0.0
49.75685163254949,62.91748435120961,89.2126543732025,-26.295170021992888,52.61643545931314,,,0.0,0.0,,,0.0
49.71577785326087,62.97806980298913,89.40903108016305,-26.430961277173918,52.95554517663045,,,0.0,0.0,,,0.0
49.724360613810745,62.9868925831202,89.4673273657289,-26.480434782608704,53.00549872122762,,,0.0,0.0,,,0.0
49.68000594429348,62.91261888586956,89.2063519021739,-26.293733016304344,52.75895889945652,,,0.0,0.0,,,0.0
49.77095363451087,62.99182659646739,89.31392238451087,-26.322095788043484,52.76384171195653,,,0.0,0.0,,,0.0
49.60880180027174,62.86880095108695,89.19858186141305,-26.329780910326093,52.84977921195652,,,0.0,0.0,,,0.0
49.68900730298913,62.88147503396739,89.13563603940217,-26.25416100543478,52.6390964673913,,,0.0,0.0,,,0.0
49.71366826429305,63.027858610065046,89.34590037658336,-26.318041766518316,52.94642245806231,,,0.0,0.0,,,0.0
49.68959931798806,62.98083972719522,89.20202472293265,-26.221184995737424,52.80366581415175,,,0.0,0.0,,,0.0
49.57348587379462,62.81986973439351,88.88855523600067,-26.068685501607163,52.56145322280494,,,0.0,0.0,,,0.0
49.54999154119438,62.75042294028084,88.85928776856707,-26.10886482828624,52.509727626459146,,,0.0,0.0,,,0.0
49.46323029891305,62.69081182065217,88.83725373641305,-26.146441915760875,52.601604959239125,,,0.0,0.0,,,0.0
49.44565217391305,62.63483336152935,88.74522077482659,-26.11038741329724,52.48874978852985,,,0.0,0.0,,,0.0
49.44692099475554,62.56238369142277,88.77330400947386,-26.210920318051087,52.44184571138556,,,0.0,0.0,,,0.0
49.46690302309783,62.68420940896739,88.95968495244566,-26.275475543478265,52.71008831521739,,,0.0,0.0,,,0.0
49.34583826763661,62.603197428523096,88.76662155303671,-26.163424124513615,52.67814244628659,,,0.0,0.0,,,0.0
49.400291828793776,62.60694045000846,88.79282270343427,-26.18588225342581,52.599179495855175,,,0.0,0.0,,,0.0
49.62423273657289,62.809953111679455,89.01664535379369,-26.20669224211424,52.57813299232736,,,0.0,0.0,,,0.0
49.23394808743169,62.46608179644809,88.77185792349727,-26.305776127049175,52.77004354508197,,,0.0,0.0,,,0.0
49.60230179028133,62.89000426257459,89.18650895140665,-26.29650468883206,52.87190963341858,,,0.0,0.0,,,0.0
49.536182541025205,62.81955252918288,88.87851040433091,-26.05895787514803,52.62569785146338,,,0.0,0.0,,,0.0
49.37072752598307,62.741647915997,89.13710489660345,-26.395456980606447,53.137297760634304,,,0.0,0.0,,,0.0
49.420550733954784,62.7720132861888,89.12529733204757,-26.35328404585877,53.0562091503268,,,0.0,0.0,,,0.0
49.78955669224212,63.09639812446718,89.2400895140665,-26.14369138959932,52.757374254049445,,,0.0,0.0,,,0.0
49.82697860054348,63.107124660326086,89.1997707201087,-26.092646059782616,52.65293817934784,,,0.0,0.0,,,0.0
49.411949282786885,62.82123036202186,89.23452441939891,-26.41329405737705,53.231856215847,,,0.0,0.0,,,0.0
49.88209069293478,63.16469938858695,89.30192764945652,-26.137228260869563,52.70244565217391,,,0.0,0.0,,,0.0
49.560971467391305,62.94340183423913,89.10729449728261,-26.16389266304348,52.92875339673913,,,0.0,0.0,,,0.0
49.606869904891305,62.96870754076087,89.10440726902173,-26.135699728260867,52.85937499999999,,,0.0,0.0,,,0.0
49.82101167315175,63.116435459313145,89.21933682963966,-26.102901370326517,52.6937489426493,,,0.0,0.0,,,0.0
49.938051970108695,63.22246518342392,89.46444038722827,-26.24197520380435,52.81080163043479,,,0.0,0.0,,,0.0
49.86081035357808,63.16875317205211,89.3574691253595,-26.188715953307398,52.80460159025546,,,0.0,0.0,,,0.0
49.74598206733209,63.0562510573507,89.11542040263915,-26.05916934528845,52.67970732532566,,,0.0,0.0,,,0.0
49.70066236413044,63.06564198369565,89.21280570652173,-26.14716372282609,52.87712296195651,,,0.0,0.0,,,0.0
49.65946963288784,62.87195482997801,88.95129842666215,-26.07934359668414,52.50431399086449,,,0.0,0.0,,,0.0
49.61840213161901,62.86436305193707,88.96337337167992,-26.09901031974285,52.59093216037896,,,0.0,0.0,,,0.0
